2024-08-25 12:04:40.1724567680 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/python_oop_tutorial_object_oriented_programming_inheritance/cat']
2024-08-25 12:04:40.1724567680 IST +0530 | root | DEBUG | Name of module is: python_oop_tutorial_object_oriented_programming_inheritance.animal
2024-08-25 12:04:40.1724567680 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/python_oop_tutorial_object_oriented_programming_inheritance/animal']
2024-08-25 12:04:40.1724567680 IST +0530 | root | DEBUG | Name of module is: __main__
2024-08-25 12:04:40.1724567680 IST +0530 | root | DEBUG | File constituting module is: /run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/main_inheritance.py
2024-08-25 12:04:40.1724567680 IST +0530 | root | DEBUG | self=<python_oop_tutorial_object_oriented_programming_inheritance.cat.cat.Cat object at 0x7fd811fc3200>
2024-08-25 12:04:40.1724567680 IST +0530 | root | DEBUG | self.__class__=<class 'python_oop_tutorial_object_oriented_programming_inheritance.cat.cat.Cat'>
2024-08-25 12:04:40.1724567680 IST +0530 | root | DEBUG | self.__dict__={'animal_name': 'Tim', 'animal_age': 5, 'animal_color': 'Blue'}
2024-08-25 12:04:40.1724567680 IST +0530 | root | DEBUG | animal_cat=<python_oop_tutorial_object_oriented_programming_inheritance.cat.cat.Cat object at 0x7fd811fc3200>
2024-08-25 12:04:40.1724567680 IST +0530 | root | DEBUG | animal_cat.__dict__={'animal_name': 'Tim', 'animal_age': 5, 'animal_color': 'Blue'}
2024-08-25 12:04:40.1724567680 IST +0530 | root | DEBUG | animal_cat.speak()="'self.animal_name='Tim'', aged 'self.animal_age=5' years, and 'self.animal_color='Blue'' coloured says meow!"
2024-08-25 19:41:56.1724595116 IST +0530 | root | DEBUG | Name of module is: logging_configuration
2024-08-25 19:41:56.1724595116 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/logging_configuration']
2024-08-25 19:41:56.1724595116 IST +0530 | root | DEBUG | Name of module is: python_oop_tutorial_object_oriented_programming_overriding_methods
2024-08-25 19:41:56.1724595116 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/python_oop_tutorial_object_oriented_programming_overriding_methods']
2024-08-25 19:41:56.1724595116 IST +0530 | root | DEBUG | File constituting module is: /run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/python_oop_tutorial_object_oriented_programming_overriding_methods/__init__.py
2024-08-25 19:41:56.1724595116 IST +0530 | root | DEBUG | Name of module is: python_oop_tutorial_object_oriented_programming_overriding_methods.point
2024-08-25 19:41:56.1724595116 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/python_oop_tutorial_object_oriented_programming_overriding_methods/point']
